"RO-NO...
","BOOKED.
DATE","CLOSED.
DATE","DT
","TECH...
NO","LN
","SEQ
NO","M
","HT
","SC
","LBR..
TYPE","PAY.
TYPE","ACTUAL.
HOURS","SOLD...
HOURS","SOLD......
AMOUNT","LABOR.....
COST","OP-CODE...
","DESCRIPTION..
",
163961, 26FEB21, 26FEB21, S1,99999,  D,5,  , ST,   , ISM  ,  ROP,0,0,0,0, WHOLESALE , WHOLESALING V,"        "
,,,,,,,,,,,,,,,,,,
164588, 22FEB21, 26FEB21, S1,99999,  A,1,  , ST,   , CSR  ,  ROP,0,0,0,0, MISC      , MISCELLANEOUS,"        "
,,,,,,,,,,,,,,,,,,
164588, 22FEB21, 26FEB21, S1,99999,  B,2,  , ST,   , ISM  ,  ROP,0,0,0,0, VI        , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
164588, 22FEB21, 26FEB21, S1,99999,  C,3,  , ST,   , ISM  ,  ROP,0,0,0,0, MISC      , MISCELLANEOUS,"        "
,,,,,,,,,,,,,,,,,,
164608, 26FEB21, 26FEB21, S1,99999,  A,1,  , ST,   , WS4  ,  ROP,0,0,0,0, FC        , CLOSED RO AND,"        "
,,,,,,,,,,,,,,,,,,
164611, 26FEB21, 26FEB21, S1,99999,  A,1,  , ST,   , ISM  ,  ROP,0,0,0,0, MISC      , MISCELLANEOUS,"        "
,,,,,,,,,,,,,,,,,,
164630, 03MAR21, 04MAR21, S1,99999,  A,1,  , ST,   , CSR  ,  ROP,0,0,300.25,0, SOP       , NO REPAIR ATT,"        "
,,,,,,,,,,,,,,,,,,
164630, 03MAR21, 04MAR21, S1,99999,  C,4,  , ST,   , CSR  ,  ROP,0,0,0,0, MISC      , MISCELLANEOUS,"        "
,,,,,,,,,,,,,,,,,,
164783, 19MAR21, 20MAR21, S1,99999,  B,5,  , ST,   , CSX  ,  ROP,0,0,0,0, LOANER    , LOANER VEHICL,"        "
,,,,,,,,,,,,,,,,,,
164788, 19FEB21, 19FEB21, S1,99999,  P,17, *, ST,   , ISD  ,  ROP,0,0,112.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
164894, 26FEB21, 10MAR21, S1,99999,  A,1,  , ST,   , CER  ,  ROP,0,0,0,0, MISC      , MISCELLANEOUS,"        "
,,,,,,,,,,,,,,,,,,
164919, 24FEB21, 27FEB21, S1,99999,  B,2,  , ST,   , CSX  ,  ROP,0,0,0,0, SESINSP   , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
164987, 20FEB21, 25FEB21, S1,99999,  D,4,  , ST,   , CSX  ,  ROP,0,0,0,0, DETAIL    , interior car ,"        "
,,,,,,,,,,,,,,,,,,
165112, 18FEB21, 18FEB21, S1,99999,  A,1,  , ST,   , CSX  ,  ROP,0,0,0,0, VI        , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
165115, 17FEB21, 17FEB21, S1,99999,  A,1,  , ST,   , ISM  ,  ROP,0,0,0,0, VI        , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
165117, 24FEB21, 24FEB21, S1,99999,  A,1,  , ST,   , ISM  ,  ROP,0,0,0,0, LOANER    , LOANER VEHICL,"        "
,,,,,,,,,,,,,,,,,,
165157, 04MAR21, 04MAR21, S1,99999,  C,3,  , ST,   , ISM  ,  ROP,0,0,0,0, MISC      , MISCELLANEOUS,"        "
,,,,,,,,,,,,,,,,,,
165158, 19FEB21, 24FEB21, S1,99999,  C,3,  , ST,   , ISM  ,  ROP,0,0,0,0, MISC      , MISCELLANEOUS,"        "
,,,,,,,,,,,,,,,,,,
165228, 16FEB21, 16FEB21, S1,99999,  C,3,  , ST,   , ISM  ,  ROP,0,0,0,0, VI        , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
165228, 16FEB21, 16FEB21, S1,99999,  E,6,  , ST,   , ISM  ,  ROP,0,0,0,0, WHOLESALE , WHOLESALING V,"        "
,,,,,,,,,,,,,,,,,,
165276, 23FEB21, 26FEB21, S1,99999,  C,4,  , ST,   , ISM  ,  ROP,0,0,0,0, RECALL    , COULD NOT GET,"        "
,,,,,,,,,,,,,,,,,,
165276, 23FEB21, 26FEB21, S1,99999,  G,8,  , ST,   , ISD  ,  ROP,0,0,212.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
165276, 23FEB21, 26FEB21, S1,99999,  I,12,  , ST,   , ISM  ,  ROP,0,0.3,30,15, MISC      , MISCELLANEOUS,"        "
,,,,,,,,,,,,,,,,,,
165307, 17FEB21, 24FEB21, S1,99999,  B,2,  , ST,   , ISM  ,  ROP,0,0,0,0, DECLINED  , CUSTOMER DECL,"        "
,,,,,,,,,,,,,,,,,,
165307, 17FEB21, 24FEB21, S1,99999,  G,7,  , ST,   , ISM  ,  ROP,0,0,0,0, LOANER    , LOANER VEHICL,"        "
,,,,,,,,,,,,,,,,,,
165316, 18FEB21, 24FEB21, S1,99999,  F,7,  , ST,   , ISD  ,  ROP,0,0,212.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
165316, 19FEB21, 24FEB21, S1,99999,  G,11,  , ST,   , ISM  ,  ROP,0,0,0,0, MISC      , MISCELLANEOUS,"        "
,,,,,,,,,,,,,,,,,,
165375, 17FEB21, 17FEB21, S1,99999,  A,1,  , ST,   , ISM  ,  ROP,0,0,0,0, LOFS      , Perform Oil a,"        "
,,,,,,,,,,,,,,,,,,
165384, 12FEB21, 17FEB21, S1,99999,  D,4,  , ST,   , ISM  ,  ROP,0,0,0,0, MISC      , MISCELLANEOUS,"        "
,,,,,,,,,,,,,,,,,,
165399, 11FEB21, 19FEB21, S1,99999,  E,5,  , ST,   , WS4  ,  ROP,0,0,0,0, LOANER    , LOANER VEHICL,"        "
,,,,,,,,,,,,,,,,,,
165408, 11FEB21, 16FEB21, S1,99999,  D,4,  , ST,   , ISM  ,  ROP,0,0,0,0, PDEL      , PICK UP AND D,"        "
,,,,,,,,,,,,,,,,,,
165409, 18FEB21, 18FEB21, S1,99999,  F,7,  , ST,   , ISD  ,  ROP,0,0,212.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
165411, 16FEB21, 26FEB21, S1,99999,  G,8,  , ST,   , ISD  ,  ROP,0,0,212.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
165421, 16FEB21, 25FEB21, S1,99999,  F,6,  , ST,   , WLV  ,  ROP,0,0,250,0, LOANER    , LOANER VEHICL,"        "
,,,,,,,,,,,,,,,,,,
165438, 18FEB21, 26FEB21, S1,99999,  C,4,  , ST,   , ISM  ,  ROP,0,0,0,0, RECALL    , COULD NOT GET,"        "
,,,,,,,,,,,,,,,,,,
165438, 18FEB21, 26FEB21, S1,99999,  E,6,  , ST,   , ISD  ,  ROP,0,0,212.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
165443, 12FEB21, 16FEB21, S1,99999,  C,3,  , ST,   , ISM  ,  ROP,0,0,0,0, LOANER    , LOANER VEHICL,"        "
,,,,,,,,,,,,,,,,,,
165444, 17FEB21, 17FEB21, S1,99999,  A,1,  , ST,   , ISM  ,  ROP,0,0,0,0, LOANER    , LOANER VEHICL,"        "
,,,,,,,,,,,,,,,,,,
165500, 17FEB21, 17FEB21, S1,99999,  A,1,  , ST,   , ISM  ,  ROP,0,0,0,0, LOANER    , LOANER VEHICL,"        "
,,,,,,,,,,,,,,,,,,
165517, 13FEB21, 16FEB21, S1,99999,  C,3,  , ST,   , WLV  ,  ROP,0,0,50,0, LOANER    , LOANER VEHICL,"        "
,,,,,,,,,,,,,,,,,,
165527, 17FEB21, 17FEB21, S1,99999,  D,3,  , ST,   , ISM  ,  ROP,0,0,0,0, LOANER    , LOANER VEHICL,"        "
,,,,,,,,,,,,,,,,,,
165541, 16FEB21, 16FEB21, S1,99999,  G,8,  , ST,   , ISD  ,  ROP,0,0,212.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
165543, 22FEB21, 26FEB21, S1,99999,  B,2,  , ST,   , CSX  ,  ROP,0,0,0,0, SESINSP   , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
165544, 18FEB21, 18FEB21, S1,99999,  M,15,  , ST,   , ISD  ,  ROP,0,0,112.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
165547, 24FEB21, 25FEB21, S1,99999,  G,9,  , ST,   , ISD  ,  ROP,0,0,112.31,0, UCD       , PERFORM ASSUR,"        "
,,,,,,,,,,,,,,,,,,
165547, 24FEB21, 25FEB21, S1,99999,  H,11,  , ST,   , ISM  ,  ROP,0,0,0,0, MISC      , WHEEL LOCKS R,"        "
,,,,,,,,,,,,,,,,,,
165549, 18FEB21, 19FEB21, S1,99999,  P,19,  , ST,   , ISD  ,  ROP,0,0,112.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
165549, 19FEB21, 19FEB21, S1,99999,  Q,22,  , ST,   , ISM  ,  ROP,0,0,0,0, MISC      , MISCELLANEOUS,"        "
,,,,,,,,,,,,,,,,,,
165552, 25FEB21, 25FEB21, S1,99999,  E,6,  , ST,   , ISD  ,  ROP,0,0,212.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
165555, 05MAR21, 05MAR21, S1,99999,  H,9,  , ST,   , ISD  ,  ROP,0,0,112.31,0, UCD       , PERFORM ASSUR,"        "
,,,,,,,,,,,,,,,,,,
165555, 05MAR21, 05MAR21, S1,99999,  I,12,  , ST,   , ISM  ,  ROP,0,0,0,0, MISC      , DECLINED REPA,"        "
,,,,,,,,,,,,,,,,,,
165555, 05MAR21, 05MAR21, S1,99999,  J,13,  , ST,   , ISM  ,  ROP,0,0,0,0, BLADES    , DECLINED REPA,"        "
,,,,,,,,,,,,,,,,,,
165556, 18FEB21, 18FEB21, S1,99999,  D,5,  , ST,   , ISD  ,  ROP,0,0,212.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
165559, 26FEB21, 26FEB21, S1,99999,  K,12,  , ST,   , ISD  ,  ROP,0,0,212.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
165572, 15FEB21, 16FEB21, S1,99999,  C,3,  , ST,   , CSX  ,  ROP,0,0,0,0, PDEL      , PICK UP AND D,"        "
,,,,,,,,,,,,,,,,,,
165573, 17FEB21, 17FEB21, S1,99999,  J,11,  , ST,   , ISD  ,  ROP,0,0,212.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
165588, 16FEB21, 16FEB21, S1,99999,  B,2,  , ST,   , ISD  ,  ROP,0,0,200,0, NCDI      , NEW CAR DETAI,"        "
,,,,,,,,,,,,,,,,,,
165592, 16FEB21, 16FEB21, S1,99999,  B,2,  , ST,   , ISD  ,  ROP,0,0,200,0, NCDI      , NEW CAR DETAI,"        "
,,,,,,,,,,,,,,,,,,
165604, 18FEB21, 18FEB21, S1,99999,  H,9,  , ST,   , ISD  ,  ROP,0,0,212.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
165610, 16FEB21, 16FEB21, S1,99999,  C,3,  , ST,   , CSX  ,  ROP,0,0,-25,0, DISCOUNT  , Discount     ,"        "
,,,,,,,,,,,,,,,,,,
165615, 16FEB21, 16FEB21, S1,99999,  D,4,  , ST,   , CSR  ,  ROP,0,0,-5,0, DISCOUNT  , Discount     ,"        "
,,,,,,,,,,,,,,,,,,
165621, 16FEB21, 17FEB21, S1,99999,  C,3,  , ST,   , WLV  ,  ROP,0,0,50,0, LOANER    , LOANER VEHICL,"        "
,,,,,,,,,,,,,,,,,,
165633, 24FEB21, 24FEB21, S1,99999,  B,4,  , ST,   , CSX  ,  ROP,0,0,-50,0, DISCOUNT  ,50,"        "
,,,,,,,,,,,,,,,,,,
165646, 16FEB21, 17FEB21, S1,99999,  C,3,  , ST,   , CSX  ,  ROP,0,0,0,0, PDEL      , PICK UP AND D,"        "
,,,,,,,,,,,,,,,,,,
165655, 17FEB21, 24FEB21, S1,99999,  F,6,  , ST,   , ISD  ,  ROP,0,0,212.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
165658, 19FEB21, 26FEB21, S1,99999,  B,2,  , ST,   , ISM  ,  ROP,0,0,0,0, SMOG      , SMOG INSPECTI,"        "
,,,,,,,,,,,,,,,,,,
165658, 19FEB21, 26FEB21, S1,99999,  C,4,  , ST,   , ISM  ,  ROP,0,0,0,0, RECALL    , NO REMEDY    ,"        "
,,,,,,,,,,,,,,,,,,
165658, 19FEB21, 26FEB21, S1,99999,  D,5,  , ST,   , ISM  ,  ROP,0,0,0,0, RECALL    , NO REMEDY    ,"        "
,,,,,,,,,,,,,,,,,,
165658, 19FEB21, 26FEB21, S1,99999,  I,10,  , ST,   , ISD  ,  ROP,0,0,212.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
165659, 19FEB21, 17MAR21, S1,99999,  C,4, *, ST,   , ISM  ,  OPP,0,0,0,0, RECALL    , CHECK VECHICL,"        "
,,,,,,,,,,,,,,,,,,
165659, 17MAR21, 17MAR21, S1,99999,  C,4, *, ST,   , ISM  ,  ROP,0,0,0,0, RECALL    , REMEDY NOT YE,"        "
,,,,,,,,,,,,,,,,,,
165659, 17MAR21, 17MAR21, S1,99999,  N,16,  , ST,   , ISD  ,  ROP,0,0,212.31,0, UCD       , PERFORM ASSUR,"        "
,,,,,,,,,,,,,,,,,,
165661, 03MAR21, 08MAR21, S1,99999,  E,6, *, ST,   , ISD  ,  OPP,0,0,212.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
165661, 08MAR21, 08MAR21, S1,99999,  E,6, *, ST,   , ISD  ,  ROP,0,0,0,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
165665, 19FEB21, 19FEB21, S1,99999,  A,1,  , ST,   , ISM  ,  ROP,0,0,0,0, VI        , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
165667, 17FEB21, 24FEB21, S1,99999,  F,6,  , ST,   , ISD  ,  ROP,0,0,212.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
165676, 17FEB21, 17FEB21, S1,99999,  A,1,  , ST,   , ISM  ,  ROP,0,0,0,0, VI        , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
165684, 17FEB21, 17FEB21, S1,99999,  B,2,  , ST,   , ISD  ,  ROP,0,0,200,0, NCDI      , NEW CAR DETAI,"        "
,,,,,,,,,,,,,,,,,,
165685, 17FEB21, 17FEB21, S1,99999,  B,2,  , ST,   , ISD  ,  ROP,0,0,200,0, NCDI      , NEW CAR DETAI,"        "
,,,,,,,,,,,,,,,,,,
165686, 17FEB21, 17FEB21, S1,99999,  B,2,  , ST,   , ISD  ,  ROP,0,0,200,0, NCDI      , NEW CAR DETAI,"        "
,,,,,,,,,,,,,,,,,,
165687, 17FEB21, 17FEB21, S1,99999,  B,2,  , ST,   , ISD  ,  ROP,0,0,200,0, NCDI      , NEW CAR DETAI,"        "
,,,,,,,,,,,,,,,,,,
165688, 17FEB21, 17FEB21, S1,99999,  B,2,  , ST,   , ISD  ,  ROP,0,0,200,0, NCDI      , NEW CAR DETAI,"        "
,,,,,,,,,,,,,,,,,,
165690, 17FEB21, 17FEB21, S1,99999,  B,2,  , ST,   , ISD  ,  ROP,0,0,200,0, NCDI      , NEW CAR DETAI,"        "
,,,,,,,,,,,,,,,,,,
165691, 17FEB21, 17FEB21, S1,99999,  B,2,  , ST,   , ISD  ,  ROP,0,0,200,0, NCDI      , NEW CAR DETAI,"        "
,,,,,,,,,,,,,,,,,,
165692, 17FEB21, 17FEB21, S1,99999,  B,2,  , ST,   , ISD  ,  ROP,0,0,200,0, NCDI      , NEW CAR DETAI,"        "
,,,,,,,,,,,,,,,,,,
165697, 17FEB21, 24FEB21, S1,99999,  F,6,  , ST,   , ISD  ,  ROP,0,0,212.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
165699, 17FEB21, 19FEB21, S1,99999,  A,1,  , ST,   , ISM  ,  ROP,0,0,0,0, MISC      , MISCELLANEOUS,"        "
,,,,,,,,,,,,,,,,,,
165699, 17FEB21, 19FEB21, S1,99999,  B,2,  , ST,   , ISM  ,  ROP,0,0,0,0, MISC      , MISCELLANEOUS,"        "
,,,,,,,,,,,,,,,,,,
165699, 17FEB21, 19FEB21, S1,99999,  C,3,  , ST,   , ISM  ,  ROP,0,0,0,0, MISC      , MISCELLANEOUS,"        "
,,,,,,,,,,,,,,,,,,
165699, 17FEB21, 19FEB21, S1,99999,  D,4,  , ST,   , ISM  ,  ROP,0,0,0,0, MISC      , MISCELLANEOUS,"        "
,,,,,,,,,,,,,,,,,,
165702, 22FEB21, 22FEB21, S1,99999,  A,1,  , ST,   , ISM  ,  ROP,0,0,0,0, MISC      , MISCELLANEOUS,"        "
,,,,,,,,,,,,,,,,,,
165709, 17FEB21, 18FEB21, S1,99999,  C,3,  , ST,   , ISM  ,  ROP,0,0,0,0, LOANER    , LOANER VEHICL,"        "
,,,,,,,,,,,,,,,,,,
165712, 24FEB21, 24FEB21, S1,99999,  B,2,  , ST,   , ISM  ,  ROP,0,0,0,0, DUEBILL   , LEATHER INSTA,"        "
,,,,,,,,,,,,,,,,,,
165712, 24FEB21, 24FEB21, S1,99999,  C,3,  , ST,   , ISM  ,  ROP,0,0,0,0, LOANER    , LOANER VEHICL,"        "
,,,,,,,,,,,,,,,,,,
165718, 17FEB21, 17FEB21, S1,99999,  C,3,  , ST,   , CSR  ,  ROP,0,0,-65,0, DISCOUNT  , Discount     ,"        "
,,,,,,,,,,,,,,,,,,
165721, 17FEB21, 18FEB21, S1,99999,  C,3,  , ST,   , ISM  ,  ROP,0,0,0,0, DECLINED  , CUSTOMER DECL,"        "
,,,,,,,,,,,,,,,,,,
165721, 17FEB21, 18FEB21, S1,99999,  D,4,  , ST,   , ISM  ,  ROP,0,0,0,0, DECLINED  , CUSTOMER DECL,"        "
,,,,,,,,,,,,,,,,,,
165722, 23FEB21, 23FEB21, S1,99999,  A,1,  , ST,   , ISM  ,  ROP,0,0,50,0, GC        , GLASS COAT IN,"        "
,,,,,,,,,,,,,,,,,,
165723, 17FEB21, 17FEB21, S1,99999,  B,2,  , ST,   , ISM  ,  ROP,0,0,0,0, SOP       , NO REPAIR ATT,"        "
,,,,,,,,,,,,,,,,,,
165724, 23FEB21, 23FEB21, S1,99999,  A,1,  , ST,   , ISD  ,  ROP,0,0,50,0, GC        , GLASS COAT IN,"        "
,,,,,,,,,,,,,,,,,,
165725, 23FEB21, 23FEB21, S1,99999,  A,1,  , ST,   , ISD  ,  ROP,0,0,50,0, GC        , GLASS COAT IN,"        "
,,,,,,,,,,,,,,,,,,
165726, 23FEB21, 23FEB21, S1,99999,  A,1,  , ST,   , ISM  ,  ROP,0,0,200,0, NCDI      , NEW CAR DETAI,"        "
,,,,,,,,,,,,,,,,,,
165727, 23FEB21, 23FEB21, S1,99999,  A,1,  , ST,   , ISD  ,  ROP,0,0,200,0, NCDI      , NEW CAR DETAI,"        "
,,,,,,,,,,,,,,,,,,
165728, 23FEB21, 23FEB21, S1,99999,  A,1,  , ST,   , ISM  ,  ROP,0,0,200,0, NCDI      , NEW CAR DETAI,"        "
,,,,,,,,,,,,,,,,,,
165733, 23FEB21, 24FEB21, S1,99999,  F,6,  , ST,   , WLV  ,  ROP,0,0,250,0, LOANER    , LOANER VEHICL,"        "
,,,,,,,,,,,,,,,,,,
165733, 23FEB21, 24FEB21, S1,99999,  G,9,  , ST,   , CSX  ,  ROP,0,0,0,0, DECLINED  , CUSTOMER DECL,"        "
,,,,,,,,,,,,,,,,,,
165737, 18FEB21, 18FEB21, S1,99999,  B,2,  , ST,   , ISD  ,  ROP,0,0,200,0, NCDI      , NEW CAR DETAI,"        "
,,,,,,,,,,,,,,,,,,
165744, 18FEB21, 24FEB21, S1,99999,  F,6,  , ST,   , ISD  ,  ROP,0,0,212.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
165744, 19FEB21, 24FEB21, S1,99999,  G,9,  , ST,   , ISM  ,  ROP,0,0,0,0, MISC      , MISCELLANEOUS,"        "
,,,,,,,,,,,,,,,,,,
165747, 26FEB21, 26FEB21, S1,99999,  B,2,  , ST,   , ISM  ,  ROP,0,0,0,0, VI        , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
165753, 17FEB21, 17FEB21, S1,99999,  D,4,  , ST,   , ISM  ,  ROP,0,0,0,0, DECLINED  , CUSTOMER DECL,"        "
,,,,,,,,,,,,,,,,,,
165754, 18FEB21, 18FEB21, S1,99999,  B,2,  , ST,   , CSX  ,  ROP,0,0,0,0, DETAIL    , DETAIL CAR (W,"        "
,,,,,,,,,,,,,,,,,,
165754, 18FEB21, 18FEB21, S1,99999,  C,3,  , ST,   , CSX  ,  ROP,0,0,0,0, LOANER    , LOANER VEHICL,"        "
,,,,,,,,,,,,,,,,,,
165757, 17FEB21, 24FEB21, S1,99999,  C,3,  , ST,   , ISM  ,  ROP,0,0,0,0, LOANER    , LOANER VEHICL,"        "
,,,,,,,,,,,,,,,,,,
165761, 19FEB21, 26FEB21, S1,99999,  F,6,  , ST,   , ISM  ,  ROP,0,0,0,0, LOANER    , LOANER VEHICL,"        "
,,,,,,,,,,,,,,,,,,
165762, 18FEB21, 18FEB21, S1,99999,  F,7,  , ST,   , CSX  ,  ROP,0,0,-57.42,0, DISCOUNT  , Discount     ,"        "
,,,,,,,,,,,,,,,,,,
165763, 23FEB21, 25FEB21, S1,99999,  D,4,  , ST,   , WLV  ,  ROP,0,0,250,0, LOANER    , LOANER VEHICL,"        "
,,,,,,,,,,,,,,,,,,
165768, 18FEB21, 19FEB21, S1,99999,  C,3,  , ST,   , ISM  ,  ROP,0,0,0,0, LOANER    , LOANER VEHICL,"        "
,,,,,,,,,,,,,,,,,,
165774, 18FEB21, 19FEB21, S1,99999,  E,4,  , ST,   , ISM  ,  ROP,0,0,0,0, DECLINED  , CUSTOMER DECL,"        "
,,,,,,,,,,,,,,,,,,
165788, 18FEB21, 24FEB21, S1,99999,  C,3,  , ST,   , WLV  ,  ROP,0,0,100,0, LOANER    , LOANER VEHICL,"        "
,,,,,,,,,,,,,,,,,,
165792, 18FEB21, 18FEB21, S1,99999,  D,4,  , ST,   , ISM  ,  ROP,0,0,0,0, WRB21     , NO WORK WAS D,"        "
,,,,,,,,,,,,,,,,,,
165795, 18FEB21, 18FEB21, S1,99999,  D,4,  , ST,   , CSX  ,  ROP,0,0,0,0, PDEL      , PICK UP AND D,"        "
,,,,,,,,,,,,,,,,,,
165798, 18FEB21, 19FEB21, S1,99999,  D,4,  , ST,   , CSX  ,  ROP,0,0,0,0, PDEL      , PICK UP AND D,"        "
,,,,,,,,,,,,,,,,,,
165800, 18FEB21, 18FEB21, S1,99999,  A,1,  , ST,   , ISM  ,  ROP,0,0,50,0, VIN       , VIN VERIFICAT,"        "
,,,,,,,,,,,,,,,,,,
165805, 18FEB21, 25FEB21, S1,99999,  A,1,  , ST,   , CSR  ,  ROP,0,0,-200,0, MISC      , MISCELLANEOUS,"        "
,,,,,,,,,,,,,,,,,,
165808, 18FEB21, 18FEB21, S1,99999,  B,2,  , ST,   , ISD  ,  ROP,0,0,200,0, NCDI      , NEW CAR DETAI,"        "
,,,,,,,,,,,,,,,,,,
165810, 18FEB21, 18FEB21, S1,99999,  B,2,  , ST,   , ISD  ,  ROP,0,0,200,0, NCDI      , NEW CAR DETAI,"        "
,,,,,,,,,,,,,,,,,,
165811, 18FEB21, 18FEB21, S1,99999,  B,2,  , ST,   , ISD  ,  ROP,0,0,200,0, NCDI      , NEW CAR DETAI,"        "
,,,,,,,,,,,,,,,,,,
165814, 18FEB21, 18FEB21, S1,99999,  B,2,  , ST,   , ISD  ,  ROP,0,0,200,0, NCDI      , NEW CAR DETAI,"        "
,,,,,,,,,,,,,,,,,,
165815, 26FEB21, 26FEB21, S1,99999,  B,2,  , ST,   , ISD  ,  ROP,0,0,200,0, NCDI      , NEW CAR DETAI,"        "
,,,,,,,,,,,,,,,,,,
165817, 18FEB21, 18FEB21, S1,99999,  B,2,  , ST,   , ISD  ,  ROP,0,0,200,0, NCDI      , NEW CAR DETAI,"        "
,,,,,,,,,,,,,,,,,,
165818, 19FEB21, 19FEB21, S1,99999,  B,2,  , ST,   , ISD  ,  ROP,0,0,200,0, NCDI      , NEW CAR DETAI,"        "
,,,,,,,,,,,,,,,,,,
165819, 19FEB21, 19FEB21, S1,99999,  B,2,  , ST,   , ISD  ,  ROP,0,0,200,0, NCDI      , NEW CAR DETAI,"        "
,,,,,,,,,,,,,,,,,,
165820, 19FEB21, 19FEB21, S1,99999,  B,2,  , ST,   , ISD  ,  ROP,0,0,200,0, NCDI      , NEW CAR DETAI,"        "
,,,,,,,,,,,,,,,,,,
165822, 23FEB21, 24FEB21, S1,99999,  C,3,  , ST,   , ISM  ,  ROP,0,0,0,0, MISC      , JOHN856-438-2,"        "
,,,,,,,,,,,,,,,,,,
165822, 23FEB21, 24FEB21, S1,99999,  G,7,  , ST,   , ISM  ,  ROP,0,0,0,0, LOANER    , LOANER VEHICL,"        "
,,,,,,,,,,,,,,,,,,
165827, 18FEB21, 19FEB21, S1,99999,  A,1,  , ST,   , ISM  ,  ROP,0,0,0,0, MISC      , CORRECTION RO,"        "
,,,,,,,,,,,,,,,,,,
